epoch,epoch_time,sampling_time,i_loss,n_loss,val_i_loss,val_kid,val_n_loss,,,,,,,,
Epoch 4/50,,,,,,,,,,,,,,,
511/511 ???????????????????? 0s 30ms/step - i_loss: 0.2637 - n_loss: 0.1586,,,,,,,,,,,,,,,
Sampling Time: 2.1964380741119385,,,,,,,,,,,,,,,
Saved generated images to generated_images/epoch_003_20251129-182921.png,,,,,,,,,,,,,,,
Metrics saved to training_metrics.csv (Epoch time: 44.98s),,,,,,,,,,,,,,,
511/511 ???????????????????? 45s 88ms/step - i_loss: 0.2637 - n_loss: 0.1586 - val_i_loss: 1.3057 - val_kid: 0.5122 - val_n_loss: 0.4564,,,,,,,,,,,,,,,
Epoch 5/50,,,,,,,,,,,,,,,
511/511 ???????????????????? 0s 30ms/step - i_loss: 0.2605 - n_loss: 0.1561,,,,,,,,,,,,,,,
Sampling Time: 2.2097010612487793,,,,,,,,,,,,,,,
Saved generated images to generated_images/epoch_004_20251129-183007.png,,,,,,,,,,,,,,,
Metrics saved to training_metrics.csv (Epoch time: 45.02s),,,,,,,,,,,,,,,
511/511 ???????????????????? 45s 88ms/step - i_loss: 0.2605 - n_loss: 0.1561 - val_i_loss: 0.9155 - val_kid: 0.4787 - val_n_loss: 0.3374,,,,,,,,,,,,,,,
Epoch 6/50,,,,,,,,,,,,,,,
511/511 ???????????????????? 0s 30ms/step - i_loss: 0.2571 - n_loss: 0.1537,,,,,,,,,,,,,,,
Sampling Time: 2.202124834060669,,,,,,,,,,,,,,,
Saved generated images to generated_images/epoch_005_20251129-183051.png,,,,,,,,,,,,,,,
Metrics saved to training_metrics.csv (Epoch time: 44.94s),,,,,,,,,,,,,,,
511/511 ???????????????????? 45s 88ms/step - i_loss: 0.2571 - n_loss: 0.1537 - val_i_loss: 0.6205 - val_kid: 0.4744 - val_n_loss: 0.2536,,,,,,,,,,,,,,,
Epoch 7/50,,,,,,,,,,,,,,,
511/511 ???????????????????? 0s 30ms/step - i_loss: 0.2538 - n_loss: 0.1528,,,,,,,,,,,,,,,
Sampling Time: 2.196969985961914,,,,,,,,,,,,,,,
Saved generated images to generated_images/epoch_006_20251129-183136.png,,,,,,,,,,,,,,,
Metrics saved to training_metrics.csv (Epoch time: 44.92s),,,,,,,,,,,,,,,
511/511 ???????????????????? 45s 88ms/step - i_loss: 0.2538 - n_loss: 0.1528 - val_i_loss: 0.4514 - val_kid: 0.3390 - val_n_loss: 0.2011,,,,,,,,,,,,,,,
Epoch 8/50,,,,,,,,,,,,,,,
511/511 ???????????????????? 0s 30ms/step - i_loss: 0.2504 - n_loss: 0.1521,,,,,,,,,,,,,,,
Sampling Time: 2.188110113143921,,,,,,,,,,,,,,,
Saved generated images to generated_images/epoch_007_20251129-183221.png,,,,,,,,,,,,,,,
Metrics saved to training_metrics.csv (Epoch time: 44.97s),,,,,,,,,,,,,,,
511/511 ???????????????????? 45s 88ms/step - i_loss: 0.2504 - n_loss: 0.1521 - val_i_loss: 0.3403 - val_kid: 0.2356 - val_n_loss: 0.1736,,,,,,,,,,,,,,,
